track_id,name,location_state,lat,lon,coordinate_confidence,coordinate_authority,coordinate_source,address_source,time_boundary,boundary
AZ-TRK-0001,Chandler BMX,EXACT_TRACK_POINT,33.29944,-111.825837,HIGH,C1 specialist track database + A1 address cross-check,https://jrbicycles.com/pages/bmx-tracks-database,https://www.usabmx.com/tracks/az-chandler-bmx,"Current A0/A4 registration, accessed 2026-08-20",Coordinate source names Chandler BMX at the same official address. Does not settle Chandler Jaycees identity continuity.
AZ-TRK-0002,Black Mountain BMX,EXACT_TRACK_POINT,33.705331,-112.056808,HIGH,C1 specialist track database + A1 address cross-check,https://jrbicycles.com/pages/bmx-tracks-database,https://www.usabmx.com/tracks/az-black-mountain%20bmx,"Current A0/A4 registration, accessed 2026-08-20",Current track point only. It does not assign this point to every Road Runner/Black Mountain historical period.
AZ-TRK-0003,Sports Park BMX,EXACT_TRACK_POINT,32.33421,-111.06572,MEDIUM-HIGH,C2 OpenStreetMap-derived track geometry + A1 address cross-check,https://mapcarta.com/W1425094665,https://www.usabmx.com/tracks/az-sports-park-bmx,"Current A0/A4 registration, accessed 2026-08-20",Track-specific OSM geometry is used instead of a general Sports Park address centroid.
AZ-TRK-0004,Tucson BMX,EXACT_TRACK_POINT,32.16389,-110.79491,MEDIUM-HIGH,C2 OpenStreetMap-derived track geometry + A1 address cross-check,https://mapcarta.com/W38269164,https://www.usabmx.com/tracks/az-tucson-bmx,"Current A0/A4 registration, accessed 2026-08-20",Track-specific OSM geometry. Historical Tucson names remain separate.
AZ-TRK-0005,Goodyear BMX Raceway,EXACT_TRACK_POINT,33.399524,-112.395566,HIGH,C1 specialist track database + A1/municipal address cross-check,https://jrbicycles.com/pages/bmx-tracks-database,https://www.usabmx.com/tracks/az-goodyear-bmx-raceway,"Current A0/A4 registration, accessed 2026-08-20",Current track point; coordinate role only.
AZ-TRK-0006,Yuma BMX,EXACT_TRACK_POINT,32.671902,-114.598131,HIGH,C1 specialist track database + A1 address cross-check,https://jrbicycles.com/pages/bmx-tracks-database,https://www.usabmx.com/tracks/az-yuma-bmx,"Current A0/A4 registration, accessed 2026-08-20",Current track point; coordinate role only.
AZ-TRK-0007,Lake Havasu City BMX,EXACT_TRACK_POINT,34.446647,-114.258457,HIGH,C1 specialist track database + A1 address cross-check,https://jrbicycles.com/pages/bmx-tracks-database,https://www.usabmx.com/tracks/az-lake-havasu-city-bmx,"Current A0/A4 registration, accessed 2026-08-20",Current track point only. London Bridge / Sara Park historical relationships remain unresolved.
AZ-TRK-0008,Mingus Mountain BMX (Wheelhouse),EXACT_TRACK_POINT,34.64891,-112.27988,MEDIUM-HIGH,C2 OpenStreetMap-derived Wheelhouse BMX track geometry + A1 address cross-check,https://mapcarta.com/W1425098106,https://www.usabmx.com/tracks/az-mingus-mountain-bmx-%28wheelhouse%29/events,"Current A0/A4 registration, accessed 2026-08-20",Track-specific OSM geometry; USA BMX uses the Mingus Mountain BMX (Wheelhouse) name and publishes the Wheelhouse address.
AZ-TRK-0009,Colorado River BMX,EXACT_TRACK_POINT,35.106568,-114.60775,HIGH,C1 specialist track database + A1 address cross-check,https://jrbicycles.com/pages/bmx-tracks-database,https://www.usabmx.com/tracks/az-colorado-river-bmx/contact,"Current A0/A4 registration, accessed 2026-08-20",Current track point; corroborated by OSM-derived track geometry in the same park.
AZ-TRK-0010,Interstate BMX,SITE_POINT_APPROXIMATE,35.2126,-114.027,MEDIUM,C2 fairgrounds site coordinate + A1 current track address,https://www.mypacer.com/parks/249661/mohave-county-fairgrounds-kingman,https://www.usabmx.com/tracks/az-interstate-bmx,"Current A0/A4 site registration, accessed 2026-08-20","Point represents the Mohave County Fairgrounds site, not a claimed exact current-track footprint. High Desert 66 has a separate historical track point."
AZ-TRK-0011,Show Low BMX,EXACT_TRACK_POINT,34.24705,-110.03125,MEDIUM-HIGH,C2 OpenStreetMap-derived track geometry + A1 address/activity cross-check,https://mapcarta.com/W1425093877,https://www.usabmx.com/tracks/az-show-low-bmx/events,"Current A0/A4 registration, accessed 2026-08-20",Current track geometry; Thunder Raceway lineage remains open.
AZ-TRK-0101,Road Runner BMX,AREA_ONLY_NO_POINT,,,OPEN,A1 retrospective name relationship only,,https://www.usabmx.com/news-and-media/General/2024-06-17/BMX-Hall-of-Fame-Class-of-2024?id=2026,Historical; exact period location not registered,Phoenix-area history is not enough to publish a point.
AZ-TRK-0102,Chandler Jaycees BMX,SITE_POINT_APPROXIMATE,33.29944,-111.825837,MEDIUM-HIGH FOR SHARED PHYSICAL SITE; LOW FOR EXACT HISTORICAL COURSE CENTER,B2 specialist same-location statement + B1 period Chandler Jaycees identity + A1 current Chandler Frye/McQueen cross-check,https://www.bmxnews.com/pdf/history_of_bmx_timeline_012019.pdf,https://www.usabmx.com/tracks/az-chandler-bmx,Historical Chandler Jaycees site continuity from 1975 / early ABA era to present Chandler ground; exact historical dirt-course geometry not asserted,"SITE APPROXIMATE ONLY FOR THE HISTORICAL RECORD. Cross-source evidence supports Chandler Jaycees BMX and current Chandler BMX occupying the same physical Frye/McQueen track site. The point is the governed current-site coordinate used as a historical site reference; it is not asserted as the exact 1975 or 1979–1983 course center, identical historical layout, or proof of every organizational transition."
